A5A616	mgtS	b4599	Small protein MgtS
P24242	ascG	b2714	HTH-type transcriptional regulator AscG (Cryptic asc operon repressor)
P24244	appX	b4592	Putative cytochrome bd-II ubiquinol oxidase subunit AppX
P25549	aslA	b3801	Putative sulfatase AslA (EC 3.1.6.-)
P25741	waaP	b3630	Lipopolysaccharide core heptose(I) kinase WaaP (EC 2.7.1.235)
P25744	mdtG	b1053	Multidrug resistance protein MdtG
P25748	galS	b2151	HTH-type transcriptional regulator GalS (Mgl repressor and galactose ultrainduction factor)
P25960	gspO	b3335	Prepilin leader peptidase/N-methyltransferase [Includes: Leader peptidase (EC 3.4.23.43) (Prepilin peptidase); N-methyltransferase (EC 2.1.1.-)]
P26266	fepE	b0587	Ferric enterobactin transport protein FepE
P26365	amiB	b4169	N-acetylmuramoyl-L-alanine amidase AmiB (EC 3.5.1.28)
P26612	amyA	b1927	Cytoplasmic alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)
P26649	glgS	b3049	Surface composition regulator
P27111	cynR	b0338	HTH-type transcriptional regulator CynR (Cyn operon transcriptional activator)
P27126	waaS	b3629	Lipopolysaccharide core biosynthesis protein WaaS
P27127	waaB	b3628	Lipopolysaccharide 1,6-galactosyltransferase (EC 2.4.1.-) (UDP-D-galactose:(Glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase)
P27240	waaY	b3625	Lipopolysaccharide core heptose(II) kinase WaaY (EC 2.7.1.-)
P27832	wecD	b3790	dTDP-fucosamine acetyltransferase (EC 2.3.1.210) (TDP-fucosamine acetyltransferase) (dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase)
P27835	wzyE	b3793	Probable ECA polymerase
P27836	wecG	b3794	UDP-N-acetyl-D-mannosaminuronic acid transferase (UDP-ManNAcA transferase) (EC 2.4.1.180)
P27837	yifK	b3795	Probable transport protein YifK
P28249	asmA	b2064	Protein AsmA
P28638	yhdJ	b3262	DNA adenine methyltransferase YhdJ (EC 2.1.1.72) (Type II methyltransferase M.EcoKII) (M.EcoKII)
P30015	lhr	b1653	Probable ATP-dependent helicase Lhr (EC 3.6.4.-) (Large helicase-related protein)
P30128	greB	b3406	Transcription elongation factor GreB (Transcript cleavage factor GreB)
P30130	fimD	b4317	Outer membrane usher protein FimD
P30136	thiC	b3994	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)
P30235	psuK	b2166	Pseudouridine kinase (EC 2.7.1.83)
P30859	artI	b0863	Putative ABC transporter arginine-binding protein 2
P31060	modF	b0760	ABC transporter ATP-binding protein ModF (Photorepair protein PhrA)
P31068	fliH	b1940	Flagellar assembly protein FliH
P31122	sotB	b1528	Sugar efflux transporter
P31125	eamA	b1533	Probable amino-acid metabolite efflux pump
P31126	ydeE	b1534	Uncharacterized MFS-type transporter YdeE
P31436	setC	b3659	Sugar efflux transporter C
P31440	adeQ	b3664	Adenine permease AdeQ
P31442	emrD	b3673	Multidrug resistance protein D
P31452	glvC	b3683	Phosphotransferase IIC component GlvC (PTS system EIIC component)
P31459	dgoK	b3693	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58) (2-keto-3-deoxy-galactonokinase) (2-oxo-3-deoxygalactonate kinase)
P31462	mdtL	b3710	Multidrug resistance protein MdtL
P31463	yidZ	b3711	HTH-type transcriptional regulator YidZ
P31474	hsrA	b3754	Probable transport protein HsrA (High-copy suppressor of rspA)
P31548	thiQ	b0066	Thiamine import ATP-binding protein ThiQ (EC 7.6.2.15)
P31549	thiP	b0067	Thiamine transport system permease protein ThiP
P31574	fixB	b0042	Protein FixB
P31600	nfrA	b0568	Bacteriophage adsorption protein A (Bacteriophage N4 adsorption protein A)
P31665	rpnC	b0132	Recombination-promoting nuclease RpnC (EC 3.1.21.-)
P31802	narP	b2193	Nitrate/nitrite response regulator protein NarP
P31825	yfiC	b2575	tRNA1(Val) (adenine(37)-N6)-methyltransferase (EC 2.1.1.223) (tRNA m6A37 methyltransferase)
P31826	yddA	b1496	Inner membrane ABC transporter ATP-binding protein YddA (CDS102)
P31828	pqqL	b1494	Probable zinc protease PqqL (EC 3.4.24.-)
P32129	yihG	b3862	Probable acyltransferase YihG (EC 2.3.-.-)
P32136	yihO	b3876	Putative sulfoquinovose importer
P32137	yihP	b3877	Putative 2,3-dihydroxypropane-1-sulfonate exporter
P32154	frvB	b3899	Fructose-like PTS system EIIBC component [Includes: PTS system fructose-like EIIB component (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component); PTS system fructose-like EIIC component (Fructose-like permease IIC component)]
P32155	frvA	b3900	PTS system fructose-like EIIA component (Fructose-like phosphotransferase enzyme IIA component)
P32157	yiiM	b3910	Protein YiiM
P32672	frwC	b3949	Fructose-like permease IIC component 2 (PTS system fructose-like EIIC component 2)
P32675	pflC	b3952	Pyruvate formate-lyase 2-activating enzyme (EC 1.97.1.4) (Formate-C-acetyltransferase-activating enzyme 2) (PFL-activating enzyme 2)
P32676	frwD	b3953	PTS system fructose-like EIIB component 3 (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component 3)
P32696	pspG	b4050	Phage shock protein G
P32701	pdeC	b4061	Probable cyclic di-GMP phosphodiesterase PdeC (EC 3.1.4.52)
P32710	nrfE	b4074	Probable cytochrome c-type biogenesis protein NrfE
P32711	nrfF	b4075	Formate-dependent nitrite reductase complex subunit NrfF
P32714	mdtP	b4080	Multidrug resistance outer membrane protein MdtP
P32720	alsC	b4086	D-allose transport system permease protein AlsC
P33014	tsuB	b2012	Putative sulfur carrier protein TsuB (Thiosulfate uptake protein B)
P33021	nupX	b2161	Putative nucleoside permease NupX
P33024	psuT	b2164	Putative pseudouridine transporter
P33128	yadV	b0140	Probable fimbrial chaperone YadV
P33135	fliR	b1950	Flagellar biosynthetic protein FliR
P33136	mdoG	b1048	Glucans biosynthesis protein G
P33222	yjfC	b4186	Putative acid--amine ligase YjfC (EC 6.3.1.-)
P33228	recT	b1349	Protein RecT (P33)
P33230	rcbA	b1347	Double-strand break reduction protein
P33234	adiY	b4116	HTH-type transcriptional regulator AdiY
P33340	yehA	b2108	Uncharacterized fimbrial-like protein YehA
P33341	yehB	b2109	Outer membrane usher protein YehB
P33342	yehC	b2110	Probable fimbrial chaperone YehC
P33343	yehD	b2111	Uncharacterized fimbrial-like protein YehD
P33362	yehZ	b2131	Glycine betaine-binding protein YehZ
P33369	mdtQ	b2139	Putative multidrug resistance outer membrane protein MdtQ
P33593	nikD	b3479	Nickel import ATP-binding protein NikD (EC 7.2.2.11)
P33594	nikE	b3480	Nickel import ATP-binding protein NikE (EC 7.2.2.11)
P33595	sgrR	b0069	HTH-type transcriptional regulator SgrR
P33596	recX	b2698	Regulatory protein RecX (Protein OraA)
P33913	yejA	b2177	Uncharacterized protein YejA
P33915	yejE	b2179	Inner membrane ABC transporter permease protein YejE
P33916	yejF	b2180	Uncharacterized ABC transporter ATP-binding protein YejF
P33920	yejK	b2186	Nucleoid-associated protein YejK
P33927	ccmF	b2196	Cytochrome c-type biogenesis protein CcmF
P34749	hofQ	b3391	DNA utilization protein HofQ
P36561	cobS	b1992	Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)
P36562	cobT	b1991	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)
P36647	ppdD	b0108	Prepilin peptidase-dependent protein D
P36667	wbbL	b4571	Rhamnosyltransferase WbbL (EC 2.4.1.-)
P36678	gspM	b3334	Putative type II secretion system protein M (T2SS protein M) (Putative general secretion pathway protein M) (Transport protein PshM)
P36767	rdgC	b0393	Recombination-associated protein RdgC
P36771	lrhA	b2289	Probable HTH-type transcriptional regulator LrhA
P36879	yadG	b0127	Uncharacterized ABC transporter ATP-binding protein YadG
P36995	cspB	b1557	Cold shock-like protein CspB (CSP-B)
P37009	fbpC	b0262	Fe(3+) ions import ATP-binding protein FbpC (EC 7.2.2.7)
P37016	yadK	b0136	Uncharacterized fimbrial-like protein YadK
P37017	yadL	b0137	Uncharacterized fimbrial-like protein YadL
P37018	yadM	b0138	Uncharacterized fimbrial-like protein YadM
P37024	hrpB	b0148	ATP-dependent RNA helicase HrpB (EC 3.6.4.13)
P37047	cdaR	b0162	Carbohydrate diacid regulator (Sugar diacid regulator)
P37049	yaeI	b0164	Phosphodiesterase YaeI (EC 3.1.4.-)
P37050	yadN	b0141	Uncharacterized fimbrial-like protein YadN
P37127	aegA	b2468	Putative oxidoreductase AegA (Anaerobically expressed gene A)
P37147	fxsA	b4140	UPF0716 protein FxsA (Suppressor of F exclusion of phage T7)
P37180	hybB	b2995	Probable Ni/Fe-hydrogenase 2 b-type cytochrome subunit
P37182	hybD	b2993	Hydrogenase 2 maturation protease (EC 3.4.23.-)
P37195	dctR	b3507	HTH-type transcriptional regulator DctR
P37197	yhjA	b3518	Probable cytochrome c peroxidase (EC 1.11.1.5)
P37309	arsR	b3501	Arsenical resistance operon repressor
P37590	pmrD	b2259	Signal transduction protein PmrD (BasR post-transcriptional activator) (Polymyxin resistance protein PmrD)
P37597	ydhC	b1660	Inner membrane transport protein YdhC
P37623	acpT	b3475	4'-phosphopantetheinyl transferase AcpT (EC 2.7.8.7)
P37649	pdeK	b3529	Probable cyclic di-GMP phosphodiesterase PdeK (EC 3.1.4.52)
P37652	bcsB	b3532	Cyclic di-GMP-binding protein (Cellulose synthase regulatory subunit)
P37655	bcsQ	b3534	Putative cellulose biosynthesis protein BcsQ
P37662	yhjX	b3547	Uncharacterized MFS-type transporter YhjX
P37664	yiaC	b3550	Peptidyl-lysine N-acetyltransferase YiaC (EC 2.3.1.-) (KAT)
P37671	yiaJ	b3574	DNA-binding transcriptional repressor YiaJ (YiaKLMNOPQRS operon repressor) (YiaK-S operon repressor)
P37679	sgbU	b3582	Putative L-ribulose-5-phosphate 3-epimerase SgbU (EC 5.1.3.22) (L-xylulose-5-phosphate 3-epimerase)
P37746	rfbX	b2037	Putative O-antigen transporter
P37749	wbbI	b2034	Beta-1,6-galactofuranosyltransferase WbbI (EC 2.4.1.-) (D-Galf:alpha-D-Glc beta-1,6-galactofuranosyltransferase) (GalF transferase)
P37750	wbbJ	b2033	Putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ (EC 2.3.1.-)
P37757	yddE	b1464	Uncharacterized isomerase YddE (EC 5.1.-.-) (ORFB)
P37766	ydiF	b1694	Acetate CoA-transferase YdiF (EC 2.8.3.8) (Short-chain acyl-CoA:acetate CoA-transferase)
P37772	yjfF	b4231	Inner membrane ABC transporter permease protein YjfF
P37906	puuB	b1301	Gamma-glutamylputrescine oxidoreductase (Gamma-Glu-Put oxidase) (Gamma-glutamylputrescine oxidase) (EC 1.4.3.-)
P38035	rtcR	b3422	Transcriptional regulatory protein RtcR
P38052	sfmF	b0534	Uncharacterized fimbrial-like protein SfmF
P38393	kilR	b1352	Killing protein KilR (FtsZ inhibitor protein KilR)
P38683	torT	b0994	Periplasmic protein TorT
P39160	uxuB	b4323	D-mannonate oxidoreductase (EC 1.1.1.57) (Fructuronate reductase)
P39163	chaC	b1218	Glutathione-specific gamma-glutamylcyclotransferase (Gamma-GCG) (EC 4.3.2.7) (Cation transport regulatory protein ChaC)
P39173	yeaD	b1780	Putative glucose-6-phosphate 1-epimerase (EC 5.1.3.15) (Putative D-hexose-6-phosphate mutarotase) (Unknown protein from 2D-page spots T26/PR37)
P39196	lplT	b2835	Lysophospholipid transporter LplT
P39206	caiE	b0035	Carnitine operon protein CaiE
P39208	idnK	b4268	Thermosensitive gluconokinase (EC 2.7.1.12) (Gluconate kinase 1)
P39265	alsB	b4088	D-allose-binding periplasmic protein (ALBP)
P39285	mscM	b4159	Miniconductance mechanosensitive channel MscM
P39297	bsmA	b4189	Lipoprotein BsmA (Biofilm stress and motility protein)
P39298	yjfP	b4190	Esterase YjfP (EC 3.1.-.-)
P39305	ulaE	b4197	L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22) (L-ascorbate utilization protein E) (L-xylulose-5-phosphate 3-epimerase)
P39328	ytfT	b4230	Galactofuranose transporter permease protein YtfT
P39334	bdcR	b4251	HTH-type transcriptional repressor BdcR
P39347	intB	b4271	Putative protein IntB (Int(P4)) (Putative prophage P4 integrase)
P39352	nanX	b4279	Sialic acid transporter NanX
P39359	yjhH	b4298	Probable 2-dehydro-3-deoxy-D-pentonate aldolase YjhH (EC 4.1.2.28)
P39362	sgcE	b4301	Protein SgcE (EC 5.1.3.-)
P39365	sgcC	b4304	Putative permease IIC component (Putative PTS system EIIC component)
P39380	kptA	b4331	RNA 2'-phosphotransferase (EC 2.7.1.-)
P39399	lgoR	b4357	Probable HTH-type transcriptional regulator LgoR
P39408	yjjV	b4378	Uncharacterized metal-dependent hydrolase YjjV (EC 3.1.-.-)
P39409	yjjW	b4379	Putative glycyl-radical enzyme activating enzyme YjjW (GRE activating enzyme YjjW) (EC 1.97.1.-)
P39410	yjjJ	b4385	Toxin YjjJ (Putative DNA-binding transcriptional regulator YjjJ) (Putative serine/threonine kinase toxin YjjJ) (EC 2.-.-.-)
P39830	ybaL	b0478	Putative cation/proton antiporter YbaL
P39832	znuB	b1859	High-affinity zinc uptake system membrane protein ZnuB
P39902	sprT	b2944	Protein SprT
P41442	gspG	b3328	Type II secretion system core protein G (T2SS core protein G) (Protein transport protein HofG) (Putative general secretion pathway protein G)
P41443	gspH	b3329	Type II secretion system protein H (T2SS minor pseudopilin H) (General secretion pathway protein H) (Protein transport protein HofH) (Putative general secretion pathway protein H)
P42596	rlmG	b3084	Ribosomal RNA large subunit methyltransferase G (EC 2.1.1.174) (23S rRNA m2G1835 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RlmG)
P42601	alx	b3088	Putative membrane-bound redox modulator Alx
P42624	yhaK	b3106	Pirin-like protein YhaK
P42626	yhaM	b4470	UPF0597 protein YhaM
P42630	tdcG	b4471	L-serine dehydratase TdcG (SDH) (EC 4.3.1.17) (L-serine deaminase)
P42640	yhbX	b3173	Putative transferase YhbX (EC 2.-.-.-)
P42904	agaV	b3133	N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 2 (EC 2.7.1.-) (EIIB-Aga') (PTS system N-acetylgalactosamine-specific EIIB component 2)
P42905	agaW	b3134	Putative N-acetylgalactosamine permease IIC component 2 (EIIC-Aga') (PTS system N-acetylgalactosamine-specific EIIC component 2)
P42907	agaS	b3136	Putative D-galactosamine-6-phosphate deaminase AgaS (EC 3.5.99.-) (Gam-6-P deaminase/isomerase)
P42909	agaB	b3138	N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 1 (EC 2.7.1.-) (EIIB-Aga) (PTS system N-acetylgalactosamine-specific EIIB component 1)
P42910	agaC	b3139	N-acetylgalactosamine permease IIC component 1 (EIIC-Aga) (PTS system N-acetylgalactosamine-specific EIIC component 1)
P42911	agaD	b3140	N-acetylgalactosamine permease IID component (EIID-Aga) (PTS system N-acetylgalactosamine-specific EIID component)
P42912	agaI	b3141	Putative deaminase AgaI (EC 3.5.99.-)
P42913	yraH	b3142	Uncharacterized fimbrial-like protein YraH
P42914	yraI	b3143	Probable fimbrial chaperone YraI
P42915	yraJ	b3144	Outer membrane usher protein YraJ
P43319	yraK	b3145	Uncharacterized fimbrial-like protein YraK
P43337	nudL	b1813	Uncharacterized Nudix hydrolase NudL (EC 3.6.1.-)
P45428	dcuD	b3227	Putative cryptic C4-dicarboxylate transporter DcuD
P45463	ttdR	b3060	HTH-type transcriptional activator TtdR
P45530	tusB	b3343	Protein TusB (tRNA 2-thiouridine synthesizing protein B)
P45531	tusC	b3344	Protein TusC (tRNA 2-thiouridine synthesizing protein C)
P45539	frlA	b3370	Probable fructoselysine/psicoselysine transporter FrlA
P45544	frlR	b3375	Probable fructoselysine utilization operon transcriptional repressor (HTH-type transcriptional regulator FrlR)
P45565	ais	b2252	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-) (Polymyxin resistance protein PmrG)
P45750	hofP	b3392	DNA utilization protein HofP
P45751	hofO	b3393	DNA utilization protein HofO
P45753	hofM	b3395	DNA utilization protein HofM
P45756	gspA	b3323	Putative general secretion pathway protein A
P45759	gspE	b3326	Putative type II secretion system protein E (T2SS protein E) (EC 7.4.2.8) (Putative general secretion pathway protein E) (Type II traffic warden ATPase)
P45760	gspI	b3330	Putative type II secretion system protein I (T2SS minor pseudopilin I) (Putative general secretion pathway protein I)
P45761	gspJ	b3331	Type II secretion system protein J (T2SS protein J) (Putative general secretion pathway protein J)
P45762	gspK	b3332	Putative type II secretion system protein K (T2SS protein K) (Putative general secretion pathway protein K)
P45763	gspL	b3333	Putative type II secretion system protein L (T2SS protein L) (Putative general secretion pathway protein L)
P45767	yhdX	b3269	Putative amino-acid ABC transporter permease protein YhdX
P45768	yhdY	b3270	Inner membrane amino-acid ABC transporter permease protein YhdY
P45769	yhdZ	b3271	Uncharacterized amino-acid ABC transporter ATP-binding protein YhdZ
P45800	yrfF	b3398	Putative membrane protein IgaA homolog
P46068	dsdC	b2364	HTH-type transcriptional regulator DsdC (D-serine deaminase activator)
P46118	hexR	b1853	HTH-type transcriptional regulator HexR (Hex regulon repressor)
P46481	aaeB	b3240	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)
P46482	aaeA	b3241	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)
P46837	yhgF	b3407	Protein YhgF
P46846	gntX	b3413	DNA utilization protein YhgH (Protein GntX)
P46854	aaaT	b3441	L-amino acid N-acetyltransferase AaaT (L-methionine N-acetyltransferase) (EC 2.3.1.-) (L-phenylalanine N-acetyltransferase) (EC 2.3.1.53)
P46859	gntK	b3437	Thermoresistant gluconokinase (EC 2.7.1.12) (Gluconate kinase 2)
P46888	uspC	b1895	Universal stress protein C
P52043	scpC	b2920	Propionyl-CoA:succinate CoA transferase (EC 2.8.3.-)
P52067	fsr	b0479	Fosmidomycin resistance protein
P52076	qseB	b3025	Transcriptional regulatory protein QseB
P52086	cobC	b0638	Adenosylcobalamin/alpha-ribazole phosphatase (EC 3.1.3.73) (Adenosylcobalamin phosphatase) (Alpha-ribazole-5'-phosphate phosphatase)
P52102	yfhL	b2562	Ferredoxin YfhL (EcFd)
P52108	rstA	b1608	Transcriptional regulatory protein RstA
P52119	ratB	b2618	UPF0125 protein RatB
P52127	abpA	b2628	Anti-bacteriophage protein A
P52143	ypjA	b2647	Probable autotransporter YpjA
P52613	fliJ	b1942	Flagellar FliJ protein
P52614	fliK	b1943	Flagellar hook-length control protein
P52627	fliZ	b1921	Regulator of sigma S factor FliZ
P52647	ydbK	b1378	Probable pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)
P54746	mngB	b0732	Mannosylglycerate hydrolase (EC 3.2.1.-) (2-O-(6-phospho-mannosyl)-D-glycerate hydrolase) (Alpha-mannosidase mngB)
P56258	wecF	b4481	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325) (4-alpha-L-fucosyltransferase) (TDP-Fuc4NAc:lipid II Fuc4NAc transferase) (Fuc4NAc transferase)
P56579	srlA	b2702	PTS system glucitol/sorbitol-specific EIIC component (EIIC-Gut) (Glucitol/sorbitol permease IIC component)
P58035	sgcB	b4565	Putative phosphotransferase enzyme IIB component SgcB (EC 2.7.1.-) (Putative PTS system EIIB component)
P60566	fixA	b0041	Protein FixA
P60778	tsgA	b3364	Protein TsgA
P62517	mdoH	b1049	Glucans biosynthesis glucosyltransferase H (EC 2.4.1.-)
P63204	gadE	b3512	Transcriptional regulator GadE
P63389	yheS	b3352	Probable ATP-binding protein YheS
P63417	yhbS	b3156	Uncharacterized N-acetyltransferase YhbS (EC 2.3.1.-)
P64426	digH	b1491	Glycosyl hydrolase DigH (EC 3.2.1.-) (Divisome-localized glycosyl hydrolase)
P64453	ortT	b1445	Orphan toxin OrtT
P64599	ubiT	b3157	Ubiquinone biosynthesis accessory factor UbiT
P64634	hofN	b3394	DNA utilization protein HofN
P64638	feoC	b3410	Probable [Fe-S]-dependent transcriptional repressor FeoC (Fe(2+) iron transport protein C)
P65367	yqcA	b2790	Flavodoxin YqcA
P65556	yfcD	b2299	Uncharacterized Nudix hydrolase YfcD (EC 3.6.-.-)
P67087	rsmI	b3146	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)
P67662	aaeR	b3243	HTH-type transcriptional activator AaeR
P69367	mdtH	b1065	Multidrug resistance protein MdtH
P69789	glvB	b3682	Phosphotransferase enzyme IIB component GlvB (EC 2.7.1.-) (PTS system EIIB component)
P69808	fryB	b2387	PTS system fructose-like EIIB component 1 (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component 1)
P69816	frwB	b3950	PTS system fructose-like EIIB component 2 (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component 2)
P69826	cmtA	b2933	PTS system mannitol-specific cryptic EIICB component (EIICB-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component)]
P71298	intF	b0281	Prophage integrase IntF (Putative prophage CP4-6 integrase)
P71301	ecpR	b0294	HTH-type transcriptional regulator EcpR
P75683	yagG	b0270	Putative glycoside/cation symporter YagG
P75685	rclC	b0301	Inner membrane protein RclC (Reactive chlorine resistance protein C)
P75687	rclB	b0303	Uncharacterized protein RclB (Reactive chlorine resistance protein B)
P75715	sfmH	b0533	Uncharacterized fimbrial-like protein SfmH
P75733	chiP	b0681	Chitoporin (ChiP-III)
P75736	ybfF	b0686	Esterase YbfF (EC 3.1.-.-)
P75742	dtpD	b0709	Dipeptide permease D
P75745	pxpC	b0712	5-oxoprolinase subunit C (5-OPase subunit C) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit C)
P75746	pxpA	b0713	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)
P75757	zitB	b0752	Zinc transporter ZitB
P75777	ybhG	b0795	UPF0194 membrane protein YbhG
P75782	rlmF	b0807	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.181) (23S rRNA mA1618 methyltransferase) (rRNA adenine N-6-methyltransferase)
P75785	opgE	b0815	Phosphoethanolamine transferase OpgE (EC 2.7.-.-)
P75794	ybiY	b0824	Putative pyruvate formate-lyase 3-activating enzyme (EC 1.97.1.4) (Formate-C-acetyltransferase-activating enzyme 3) (PFL-activating enzyme 3)
P75799	gsiD	b0832	Glutathione transport system permease protein GsiD
P75800	pdeI	b0833	Probable cyclic di-GMP phosphodiesterase PdeI (EC 3.1.4.52)
P75811	rcdA	b0846	HTH-type transcriptional regulator RcdA (Regulator of csgD)
P75817	rlmC	b0859	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC (EC 2.1.1.189) (23S rRNA(m5U747)-methyltransferase)
P75826	lysO	b0874	Lysine exporter LysO (Lys outward permease)
P75838	ycaO	b0905	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
P75851	ssuC	b0934	Putative aliphatic sulfonates transport permease protein SsuC
P75853	ssuA	b0936	Putative aliphatic sulfonates-binding protein
P75855	elfA	b0938	Fimbrial subunit ElfA
P75857	elfC	b0940	Probable outer membrane usher protein ElfC
P75858	elfG	b0941	Uncharacterized fimbrial-like protein ElfG
P75901	efeU	b4490	Putative inactive ferrous iron permease EfeU (Putative Fe(2+) ion permease EfeU)
P75915	ycdY	b1035	Chaperone protein YcdY
P75920	mdoC	b1047	Glucans biosynthesis protein C (EC 2.1.-.-)
P75925	yceJ	b1057	Cytochrome b561 homolog 2
P75938	flgF	b1077	Flagellar basal-body rod protein FlgF (Putative proximal rod protein)
P75942	flgJ	b1081	Peptidoglycan hydrolase FlgJ (EC 3.2.1.-) (Muramidase FlgJ)
P75948	thiK	b1106	Thiamine kinase (EC 2.7.1.89)
P75969	intE	b1140	Prophage integrase IntE (Int(Lambda)) (Prophage e14 integrase) (Prophage lambda integrase)
P75987	iraM	b1160	Anti-adapter protein IraM (Enhancing lycopene biosynthesis protein 1)
P76002	pliG	b1178	Inhibitor of g-type lysozyme
P76007	cvrA	b1191	K(+)/H(+) antiporter NhaP2 (Potassium/proton antiporter NhaP2)
P76017	ycgV	b1202	Probable autotransporter YcgV
P76043	ycjQ	b1313	D-guloside 3-dehydrogenase (EC 1.1.1.-)
P76046	ycjX	b1321	Ras-like GTPase YcjX (EC 3.6.5.2) (Stress protein YcjX)
P76078	paaB	b1389	1,2-phenylacetyl-CoA epoxidase, subunit B (1,2-phenylacetyl-CoA monooxygenase, subunit B)
P76080	paaD	b1391	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D (1,2-phenylacetyl-CoA monooxygenase, subunit D)
P76097	ydcJ	b1423	2-oxoadipate dioxygenase/decarboxylase (EC 1.13.11.93) (2-hydroxyglutarate synthase)
P76102	insQ	b1432	Putative RNA-guided DNA endonuclease InsQ (EC 3.1.21.-)
P76114	mcbR	b1450	HTH-type transcriptional regulator McbR
P76128	ddpA	b1487	Probable D,D-dipeptide-binding periplasmic protein DdpA
P76135	ydeO	b1499	HTH-type transcriptional regulator YdeO
P76142	lsrB	b1516	Autoinducer 2-binding protein LsrB (AI-2-binding protein LsrB)
P76159	rrrQ	b1554	Probable prophage lysozyme (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase) (Probable lysozyme from lambdoid prophage Qin)
P76168	intQ	b1579	Putative defective protein IntQ (Putative lambdoid prophage Qin defective integrase)
P76173	ynfH	b1590	Anaerobic dimethyl sulfoxide reductase chain YnfH (DMSO reductase anchor subunit YnfH)
P76175	clcB	b1592	Voltage-gated ClC-type chloride channel ClcB
P76187	ydhF	b1647	Oxidoreductase YdhF (EC 1.-.-.-)
P76192	ydhV	b1673	Uncharacterized oxidoreductase YdhV (EC 1.-.-.-)
P76204	ydiV	b1707	Putative anti-FlhC(2)FlhD(4) factor YdiV (c-di-GMP regulator CdgR)
P76224	ynjC	b1755	Inner membrane ABC transporter permease protein YnjC
P76241	nimR	b1790	HTH-type transcriptional regulator NimR (Regulator of nimT)
P76254	yeaX	b1803	Carnitine monooxygenase reductase subunit (EC 1.14.13.239) (Carnitine monooxygenase beta subunit)
P76261	pdeD	b1815	Probable cyclic di-GMP phosphodiesterase PdeD (EC 3.1.4.52)
P76268	kdgR	b1827	HTH-type transcriptional regulator KdgR
P76270	msrC	b1832	Free methionine-R-sulfoxide reductase (fRMsr) (EC 1.8.4.14)
P76273	rsmF	b1835	Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.178) (16S rRNA m5C1407 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmF)
P76298	flhA	b1879	Flagellar biosynthesis protein FlhA
P76299	flhB	b1880	Flagellar biosynthetic protein FlhB
P76329	yedP	b1955	Mannosyl-3-phosphoglycerate phosphatase (MPGP) (EC 3.1.3.70)
P76345	yodB	b1974	Cytochrome b561 homolog 1
P76372	wzzB	b2027	Chain length determinant protein (Polysaccharide antigen chain regulator)
P76393	yegI	b2070	Protein kinase YegI (EC 2.7.-.-)
P76446	pdeN	b2176	Probable cyclic di-GMP phosphodiesterase PdeN (EC 3.1.4.52)
P76461	atoB	b2224	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)
